"Method","Provider","Status","From:","Amount","Coin","To:","Date","Label","Gas","Block Number","Transaction Hash","Block Hash","Input"
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.11 => 0.2644154375205584","CUSD => 0.2644154375205584","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Swap","Ubeswap","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1 => 0.23751518643997702","CUSD => 0.23751518643997702","0x471ece3750da237f93b8e339c536989b8978a438","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.001","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01","CELO,
CUSD","0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.01,
0.01,
0.01,
0.01,
0.01,
0.01","CELO,
CUSD,
CELO,
CUSD,
CELO,
CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x4d3C14235b42de915B2671dd476bfc48f0ae02ea, 
0x34bCc7C097bC4f58bA0B3caa1abD1a617E398194, 
0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 14, 2022","Payroll","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 14, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Sent","Celo Safe","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.1","CELO","0x8190a4Ff180BF65D49E57Dc24aA240Ec09Ebb329","Nov 13, 2022","","0.000 CELO","","","",""
"Stream Created","Xeggo","Success","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","0.0099999999989244","CELO","0x0fd545769A02ee82Fbf6C549B7865C893daEe3E4","Nov 13, 2022 03:10:00 - Nov 23, 2022 02:10:00","","0.000 CELO","","","",""
"Stream Cancelled","Xeggo","Rejected","0xc733aA86f0C76E61Dc813D3616EB9ab0A70af213","","","","Nov 12, 2022","","0.000 CELO","","","",""
